settlement_id,transaction_id,gross_amount,fee,tax,adjustment,net_amount,settlement_date,status
SET0031,TX0031,1200.0,24.0,4.32,0,1171.68,2026-08-16,SETTLED
SET0032,TX0032,2500.0,50.0,9.0,0,2441.0,2026-08-11,SETTLED
SET0034,TX0034,7500.0,150.0,27.0,0,7323.0,2026-08-19,SETTLED
SET0035,TX0035,1500.0,30.0,5.4,0,1464.6,2026-08-11,SETTLED
SET0036,TX0036,7500.0,150.0,27.0,0,7323.0,2026-08-11,SETTLED
SET0037,TX0037,5000.0,100.0,18.0,0,4882.0,2026-08-06,SETTLED
SET0038,TX0038,3000.0,60.0,10.8,0,2929.2,2026-08-18,SETTLED
SET0039,TX0039,3000.0,60.0,10.8,0,2929.2,2026-08-10,SETTLED
SET0040,TX0040,25000.0,500.0,90.0,0,24410.0,2026-08-12,SETTLED
SET0041,TX0041,10000.0,200.0,36.0,0,9764.0,2026-08-19,SETTLED
SET0042,TX0042,1750.0,35.0,6.3,0,1708.7,2026-08-06,SETTLED
SET0043,TX0043,1500.0,30.0,5.4,0,1464.6,2026-08-23,SETTLED
SET0044,TX0044,15000.0,300.0,54.0,0,14646.0,2026-08-09,SETTLED
SET0045,TX0045,3000.0,60.0,10.8,0,2929.2,2026-08-10,SETTLED
SET0046,TX0046,5000.0,100.0,18.0,0,4882.0,2026-08-09,SETTLED
SET0048,TX0048,,30.0,5.4,0,1464.6,2026-08-22,SETTLED
SET0049,TX0049,3000.0,60.0,10.8,0,2929.2,2026-08-08,SETTLED
SET0050,TX0050,4500.0,90.0,16.2,0,4393.8,2026-08-13,SETTLED
SET0051,TX0051,15000.0,300.0,54.0,0,14646.0,2026-08-24,SETTLED
SET0052,TX0052,20000.0,400.0,72.0,0,19528.0,2026-08-07,SETTLED
SET0053,TX0053,1500.0,30.0,5.4,0,1464.6,2026-08-21,SETTLED
SET0054,TX0054,15000.0,300.0,54.0,0,14646.0,2026-08-10,SETTLED
SET0055,TX0055,10000.0,200.0,36.0,0,9764.0,2026-08-19,SETTLED
SET0056,TX0056,20000.0,400.0,72.0,0,19528.0,2026-08-17,SETTLED
SET0057,TX0057,4500.0,90.0,16.2,0,4393.8,2026-08-08,SETTLED
SET0058,TX0058,10000.0,200.0,36.0,0,9764.0,2026-08-15,SETTLED
SET0059,TX0059,25000.0,500.0,90.0,0,24410.0,2026-08-07,SETTLED
SET0060,TX0060,5000.0,100.0,18.0,0,4882.0,2026-08-07,SETTLED
SET0061,TX0061,1200.0,24.0,4.32,0,1171.68,2026-08-16,SETTLED
SET0062,TX0062,20000.0,400.0,72.0,0,19528.0,2026-08-09,SETTLED
SET0063,TX0063,15000.0,300.0,54.0,0,14646.0,2026-08-07,SETTLED
SET0064,TX0064,4500.0,90.0,16.2,0,4393.8,2026-08-05,SETTLED
SET0065,TX0065,20000.0,800.0,144.0,0,19056.0,2026-08-11,SETTLED
SET0066,TX0066,5000.0,100.0,18.0,0,4882.0,2026-08-06,SETTLED
SET0067,TX0067,7500.0,150.0,27.0,0,7323.0,2026-08-15,SETTLED
SET0068,TX0068,1200.0,24.0,4.32,0,1171.68,2026-08-12,SETTLED
SET0069,TX0069,1500.0,30.0,5.4,0,1464.6,2026-08-14,SETTLED
SET0070,TX0070,20000.0,400.0,72.0,0,19528.0,2026-08-21,SETTLED
