result_id,transaction_id,exception_type,decision_type,final_status,final_action,decision_reason,ai_used,ai_attempts,ai_confidence,failure_recovery,human_review_required,ai_override,ai_explanation,created_at,updated_at,audit_generated_at
241,TX0021,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
242,TX0022,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
243,TX0023,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
244,TX0025,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
245,TX0026,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
246,TX0027,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
247,TX0028,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
248,TX0029,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
249,TX0030,DUPLICATE_TRANSACTION,RULE_BASED_RESOLUTION,RESOLVED,RULE_BASED_RESOLUTION,Exception DUPLICATE_TRANSACTION was resolved using a deterministic business rule.,NO,0,1.0,NO,NO,0,Resolved using deterministic rule-based logic without requiring AI reasoning.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
250,TX0031,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
251,TX0032,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
252,TX0034,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
253,TX0035,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
254,TX0036,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
255,TX0037,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
256,TX0038,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
257,TX0039,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
258,TX0040,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
259,TX0041,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
260,TX0043,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
261,TX0044,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
262,TX0045,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
263,TX0046,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:25,2026-09-02T09:24:18,2026-09-02T09:33:52
264,INVOICE:INV0048,INVALID_TRANSACTION_ID,AI_FAILURE_RECOVERY,UNRESOLVED,HUMAN_REVIEW,"AI reasoning was attempted, but the AI path was unavailable or exhausted. The controller stopped further retries and escalated the transaction to human review.",NO,0,0.0,YES,YES,1,Record requires human review. Automated processing cannot safely resolve the data-integrity issue.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
265,TX0049,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
266,TX0050,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
267,TX0051,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
268,TX0052,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
269,TX0053,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
270,TX0054,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
271,TX0055,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
272,TX0056,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
273,TX0057,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
274,TX0058,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
275,TX0059,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
276,TX0060,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
277,TX0061,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
278,TX0062,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
279,TX0063,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
280,TX0065,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
281,TX0066,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
282,TX0067,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
283,TX0068,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
284,TX0069,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
285,TX0070,NO_EXCEPTION,DETERMINISTIC_MATCH,RESOLVED,NO_ACTION,Transaction matched deterministically and required no further action.,NO,0,1.0,NO,NO,0,No exception detected. No AI reasoning required.,2026-09-01T13:00:26,2026-09-02T09:24:18,2026-09-02T09:33:52
