invoice_id,customer_id,transaction_id,status,exception_type,invoice_amount,payment_amount,gross_amount,fee,tax,adjustment,net_amount,difference,reason,exception_category,priority,recommended_action,routing_hint,data_integrity_status
INV0020,C0020,TX0020,MATCHED,NONE,2000,2000.0,2000.0,40.0,7.2,0.0,1952.8,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0021,C0021,TX0021,MATCHED,NONE,2500,2500.0,2500.0,50.0,9.0,0.0,2441.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0022,C0022,TX0022,MATCHED,NONE,5000,5000.0,5000.0,100.0,18.0,0.0,4882.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0023,C0023,TX0023,MATCHED,NONE,1500,1500.0,1500.0,30.0,5.4,0.0,1464.6,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0024,C0024,TX0024,EXCEPTION,AMOUNT_MISMATCH,1200,950.0,,,,,,250.0,Invoice amount ₹1200.00 does not match payment amount ₹950.00.,AMOUNT_DISCREPANCY,HIGH,Verify invoice and payment amounts.,ROUTER_DECISION,VALID
INV0025,C0025,TX0025,MATCHED,NONE,1500,1500.0,1500.0,30.0,5.4,0.0,1464.6,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0026,C0026,TX0026,MATCHED,NONE,1200,1200.0,1200.0,24.0,4.32,0.0,1171.68,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0027,C0027,TX0027,MATCHED,NONE,3000,3000.0,3000.0,60.0,10.8,0.0,2929.2,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0028,C0028,TX0028,MATCHED,NONE,25000,25000.0,25000.0,500.0,90.0,0.0,24410.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0029,C0029,TX0029,MATCHED,NONE,5000,5000.0,5000.0,100.0,18.0,0.0,4882.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0030,C0030,TX0030,EXCEPTION,DUPLICATE_PAYMENT,4500,9000.0,,,,,,,Multiple payments found for the same invoice.,DUPLICATE_TRANSACTION,CRITICAL,Investigate possible duplicate payment.,ROUTER_DECISION,VALID
INV0031,C0031,TX0031,MATCHED,NONE,1200,1200.0,1200.0,24.0,4.32,0.0,1171.68,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0032,C0032,TX0032,MATCHED,NONE,2500,2500.0,2500.0,50.0,9.0,0.0,2441.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0033,C0033,TX0033,EXCEPTION,MISSING_SETTLEMENT,2000,2000.0,,,,,,,No settlement found for payment.,SETTLEMENT_MISSING,HIGH,Check payment gateway settlement.,ROUTER_DECISION,VALID
INV0034,C0034,TX0034,MATCHED,NONE,7500,7500.0,7500.0,150.0,27.0,0.0,7323.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0035,C0035,TX0035,MATCHED,NONE,1500,1500.0,1500.0,30.0,5.4,0.0,1464.6,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0036,C0036,TX0036,MATCHED,NONE,7500,7500.0,7500.0,150.0,27.0,0.0,7323.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0037,C0037,TX0037,MATCHED,NONE,5000,5000.0,5000.0,100.0,18.0,0.0,4882.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0038,C0038,TX0038,MATCHED,NONE,3000,3000.0,3000.0,60.0,10.8,0.0,2929.2,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0039,C0039,TX0039,MATCHED,NONE,3000,3000.0,3000.0,60.0,10.8,0.0,2929.2,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0040,C0040,TX0040,MATCHED,NONE,25000,25000.0,25000.0,500.0,90.0,0.0,24410.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0041,C0041,TX0041,MATCHED,NONE,10000,10000.0,10000.0,200.0,36.0,0.0,9764.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0042,C0042,TX0042,EXCEPTION,AMOUNT_MISMATCH,2000,1750.0,,,,,,250.0,Invoice amount ₹2000.00 does not match payment amount ₹1750.00.,AMOUNT_DISCREPANCY,HIGH,Verify invoice and payment amounts.,ROUTER_DECISION,VALID
INV0043,C0043,TX0043,MATCHED,NONE,1500,1500.0,1500.0,30.0,5.4,0.0,1464.6,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0044,C0044,TX0044,MATCHED,NONE,15000,15000.0,15000.0,300.0,54.0,0.0,14646.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0045,C0045,TX0045,MATCHED,NONE,3000,3000.0,3000.0,60.0,10.8,0.0,2929.2,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0046,C0046,TX0046,MATCHED,NONE,5000,5000.0,5000.0,100.0,18.0,0.0,4882.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0047,C0047,TX0047,EXCEPTION,MISSING_SETTLEMENT,1500,1500.0,,,,,,,No settlement found for payment.,SETTLEMENT_MISSING,HIGH,Check payment gateway settlement.,ROUTER_DECISION,VALID
INV0048,C0048,,EXCEPTION,MISSING_PAYMENT,1500,,,,,,,,No payment found for invoice.,INVALID_TRANSACTION_ID,CRITICAL,Human review required because transaction ID is missing.,HUMAN_REVIEW,INVALID_TRANSACTION_ID
INV0049,C0049,TX0049,MATCHED,NONE,3000,3000.0,3000.0,60.0,10.8,0.0,2929.2,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0050,C0050,TX0050,MATCHED,NONE,4500,4500.0,4500.0,90.0,16.2,0.0,4393.8,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0051,C0051,TX0051,MATCHED,NONE,15000,15000.0,15000.0,300.0,54.0,0.0,14646.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0052,C0052,TX0052,MATCHED,NONE,20000,20000.0,20000.0,400.0,72.0,0.0,19528.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0053,C0053,TX0053,MATCHED,NONE,1500,1500.0,1500.0,30.0,5.4,0.0,1464.6,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0054,C0054,TX0054,MATCHED,NONE,15000,15000.0,15000.0,300.0,54.0,0.0,14646.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0055,C0055,TX0055,MATCHED,NONE,10000,10000.0,10000.0,200.0,36.0,0.0,9764.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0056,C0056,TX0056,MATCHED,NONE,20000,20000.0,20000.0,400.0,72.0,0.0,19528.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0057,C0057,TX0057,MATCHED,NONE,4500,4500.0,4500.0,90.0,16.2,0.0,4393.8,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0058,C0058,TX0058,MATCHED,NONE,10000,10000.0,10000.0,200.0,36.0,0.0,9764.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0059,C0059,TX0059,MATCHED,NONE,25000,25000.0,25000.0,500.0,90.0,0.0,24410.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0060,C0060,TX0060,MATCHED,NONE,5000,5000.0,5000.0,100.0,18.0,0.0,4882.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0061,C0061,TX0061,MATCHED,NONE,1200,1200.0,1200.0,24.0,4.32,0.0,1171.68,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0062,C0062,TX0062,MATCHED,NONE,20000,20000.0,20000.0,400.0,72.0,0.0,19528.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0063,C0063,TX0063,MATCHED,NONE,15000,15000.0,15000.0,300.0,54.0,0.0,14646.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0064,C0064,TX0064,EXCEPTION,AMOUNT_MISMATCH,5000,4500.0,,,,,,500.0,Invoice amount ₹5000.00 does not match payment amount ₹4500.00.,AMOUNT_DISCREPANCY,HIGH,Verify invoice and payment amounts.,ROUTER_DECISION,VALID
INV0065,C0065,TX0065,MATCHED,NONE,20000,20000.0,20000.0,800.0,144.0,0.0,19056.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0066,C0066,TX0066,MATCHED,NONE,5000,5000.0,5000.0,100.0,18.0,0.0,4882.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0067,C0067,TX0067,MATCHED,NONE,7500,7500.0,7500.0,150.0,27.0,0.0,7323.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0068,C0068,TX0068,MATCHED,NONE,1200,1200.0,1200.0,24.0,4.32,0.0,1171.68,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0069,C0069,TX0069,MATCHED,NONE,1500,1500.0,1500.0,30.0,5.4,0.0,1464.6,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
INV0070,C0070,TX0070,MATCHED,NONE,20000,20000.0,20000.0,400.0,72.0,0.0,19528.0,0.0,"Invoice, payment and settlement records are consistent.",NO_EXCEPTION,LOW,No action required.,ROUTER_DECISION,VALID
